Name,Agent1,Agent2,Total Rounds,Weighted KPR,Weighted KAST,Weighted FKPR,Weighted FDPR,Odds Difference,Average Opposing KPR,Average Opposing KAST,Average Opposing FKPR,Average Opposing FDPR,Recent Kill Average,Actual Kills
n4rrate,9,8,347,0.8239481268011526,75.39481268011528,0.07907780979827089,0.06276657060518731,0.25963700752545416,0.7356658985591654,74.217725557722,0.10110501126839026,0.1043544605099896,32.0,28
marteen,18,12,410,0.7608780487804877,72.72682926829269,0.1736341463414634,0.17726829268292685,0.25963700752545416,0.7356658985591654,74.217725557722,0.10110501126839026,0.1043544605099896,32.0,37
tomaszy,23,6,445,0.724494382022472,74.88988764044944,0.0744494382022472,0.08667415730337079,0.25963700752545416,0.7356658985591654,74.217725557722,0.10110501126839026,0.1043544605099896,34.0,37
sh1n,16,20,434,0.59,76.0,0.06603686635944701,0.08603686635944702,0.25963700752545416,0.7356658985591654,74.217725557722,0.10110501126839026,0.1043544605099896,23.333333333333332,26
magnum,14,21,290,0.645448275862069,71.0,0.0940344827586207,0.13210344827586207,0.25963700752545416,0.7356658985591654,74.217725557722,0.10110501126839026,0.1043544605099896,28.666666666666668,32
purp0,18,12,224,0.7247321428571428,66.82589285714286,0.1582589285714286,0.1464732142857143,1.4290018832391709,0.7530745341614907,70.43788819875776,0.16577639751552797,0.12683229813664598,40.666666666666664,40
redgar,16,6,261,0.5247509578544062,66.57854406130268,0.05946360153256706,0.09842911877394635,1.4290018832391709,0.6451493667248736,68.98584801396963,0.11584193541256826,0.11090725227116996,31.0,34
hoody,23,6,281,0.6414946619217082,68.04982206405694,0.1004982206405694,0.07583629893238435,1.4290018832391709,0.6439311317904851,68.67383936399874,0.11072736382190197,0.09921693449157476,34.0,37
fit1nho,2,14,165,0.6584848484848486,72.06060606060606,0.0896969696969697,0.08606060606060606,1.4290018832391709,0.641960804358878,69.00537952299905,0.10802772927212043,0.10046252293273801,25.666666666666668,24
cloud,22,9,164,0.7485365853658537,68.6890243902439,0.07847560975609756,0.05463414634146342,1.4290018832391709,0.6529565438429743,69.35021109170884,0.10188125815079244,0.09167962688711567,34.0,30
retla,23,14,235,0.5680000000000001,72.2,0.047999999999999994,0.074,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,25.666666666666668,24
deryeon,13,14,196,0.6295918367346939,74.28571428571429,0.0836734693877551,0.08816326530612245,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,17.333333333333332,19
sscary,16,3,240,0.8101666666666667,77.74583333333334,0.09254166666666667,0.06508333333333334,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,27.333333333333332,25
zest,8,9,159,0.5046540880503145,69.0251572327044,0.03,0.08484276729559748,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,21.333333333333332,25
yay,18,12,277,0.6410830324909746,67.67870036101083,0.1767870036101083,0.23303249097472922,5.146164079822616,0.7454938775510204,78.65224489795919,0.10465306122448978,0.0944408163265306,21.666666666666668,23
retla,23,14,235,0.5680000000000001,72.2,0.047999999999999994,0.074,4.535467980295568,0.7184140233722871,73.280698159307,0.09630469953499037,0.09395831392807755,27.333333333333332,29
sscary,16,3,240,0.8101666666666667,77.74583333333334,0.09254166666666667,0.06508333333333334,4.535467980295568,0.7184140233722871,73.280698159307,0.09630469953499037,0.09395831392807755,29.666666666666668,32
yay,18,12,277,0.6410830324909746,67.67870036101083,0.1767870036101083,0.23303249097472922,4.535467980295568,0.7184140233722871,73.280698159307,0.09630469953499037,0.09395831392807755,20.333333333333332,19
zest,8,9,159,0.5046540880503145,69.0251572327044,0.03,0.08484276729559748,4.535467980295568,0.7184140233722871,73.280698159307,0.09630469953499037,0.09395831392807755,17.666666666666668,14
deryeon,13,14,196,0.6295918367346939,74.28571428571429,0.0836734693877551,0.08816326530612245,4.535467980295568,0.7184140233722871,73.280698159307,0.09630469953499037,0.09395831392807755,15.666666666666666,14
n4rrate,9,8,347,0.8239481268011526,75.39481268011528,0.07907780979827089,0.06276657060518731,4.043120567375887,0.6035217391304348,69.53260869565217,0.09663043478260872,0.10495652173913043,36.0,40
tomaszy,23,6,445,0.724494382022472,74.88988764044944,0.0744494382022472,0.08667415730337079,4.043120567375887,0.6035217391304348,69.53260869565217,0.09663043478260872,0.10495652173913043,31.0,28
magnum,14,21,290,0.645448275862069,71.0,0.0940344827586207,0.13210344827586207,4.043120567375887,0.6035217391304348,69.53260869565217,0.09663043478260872,0.10495652173913043,25.333333333333332,22
