Name,Total Rounds,Weighted KPR,Weighted Rating,Weighted ACS,Weighted KAST,Weighted APR,Weighted FKPR,Weighted FDPR,Weighted KDR,Weighted ADR,Odds Difference,Actual Kills
keznit,251,0.4796812749003984,0.6732669322709164,140.63147410358565,66.26294820717132,0.18964143426294822,0.06123505976095618,0.11653386454183266,0.6522709163346614,94.50079681274899,0.2950819672131144,42
Shyy,251,0.47924302788844625,0.6569721115537849,140.199203187251,65.47011952191235,0.17928286852589642,0.05804780876494024,0.11593625498007969,0.6474900398406375,94.5426294820717,0.2950819672131144,28
Melser,251,0.4856573705179283,0.6427490039840636,138.17729083665338,66.9203187250996,0.16617529880478088,0.04828685258964144,0.11565737051792829,0.6452589641434262,93.3211155378486,0.2950819672131144,30
Klaus,172,0.4777325581395349,0.7022674418604651,142.0610465116279,66.81395348837209,0.2097093023255814,0.06970930232558141,0.11750000000000001,0.66,94.9313953488372,0.2950819672131144,23
heat,213,0.4803286384976526,0.7144600938967136,141.8356807511737,68.12206572769954,0.21610328638497653,0.06976525821596245,0.11802816901408451,0.6642253521126762,94.48028169014084,0.2950819672131144,31
bang,189,0.48793650793650795,0.7042857142857144,139.65873015873015,70.11111111111111,0.20492063492063495,0.05968253968253969,0.11793650793650794,0.6634920634920636,93.04761904761905,0.2950819672131144,33
eeiu,189,0.48544973544973546,0.6371428571428571,138.04232804232805,66.62962962962963,0.16264550264550265,0.047248677248677255,0.11544973544973545,0.6435978835978837,93.34603174603176,0.2950819672131144,36
Cryocells,169,0.4764497041420118,0.6724852071005918,141.38757396449705,65.21301775147928,0.19106508875739645,0.06437869822485207,0.11639053254437869,0.6511242603550296,95.09704142011833,0.2950819672131144,44
Asuna,189,0.4828571428571428,0.7034391534391535,140.85978835978835,68.47619047619048,0.20740740740740743,0.06470899470899472,0.11772486772486772,0.6617989417989418,93.98571428571428,0.2950819672131144,22
Boostio,189,0.4787830687830688,0.706031746031746,141.93121693121694,67.29629629629629,0.21153439153439152,0.06947089947089949,0.11767195767195766,0.6613756613756614,94.74603174603175,0.2950819672131144,21
Karon,586,0.7682593856655289,1.0405460750853244,217.2561433447099,66.61262798634812,0.23837883959044368,0.1018430034129693,0.10733788395904437,1.0250341296928327,147.13959044368602,2.585494775660725,32
Munchkin,654,0.7872782874617736,1.0905504587155963,223.63853211009175,66.35474006116208,0.23645259938837918,0.11345565749235477,0.09327217125382264,1.0675535168195718,151.37706422018348,2.585494775660725,28
t3xture,654,0.8124159021406727,1.1051376146788991,228.82522935779818,67.46024464831804,0.22649847094801223,0.11657492354740062,0.0937308868501529,1.1003516819571866,154.09449541284405,2.585494775660725,37
Meteor,586,0.7937713310580206,1.0616382252559726,222.91672354948804,67.5580204778157,0.22918088737201367,0.10650170648464165,0.10547781569965872,1.0611774744027302,150.24948805460753,2.585494775660725,25
Lakia,566,0.8204946996466431,1.0786572438162543,228.52597173144878,68.69081272084806,0.21881625441696115,0.1101766784452297,0.10540636042402826,1.096731448763251,153.22296819787988,2.585494775660725,23
Estrella,204,0.8013725490196077,1.103235294117647,226.8308823529412,66.84803921568627,0.23151960784313727,0.11627450980392158,0.09186274509803923,1.0879901960784313,153.1529411764706,2.585494775660725,25
xffero,244,0.7863934426229509,1.0897540983606557,223.4381147540984,66.32377049180327,0.23676229508196722,0.11327868852459017,0.09336065573770493,1.0662704918032786,151.2655737704918,2.585494775660725,26
Jemkin,244,0.8027868852459016,1.1045081967213115,227.1512295081967,66.89754098360656,0.23102459016393445,0.11655737704918033,0.09172131147540985,1.0900409836065574,153.3311475409836,2.585494775660725,38
fl1pzjder,205,0.8025853658536586,1.058390243902439,224.20780487804876,68.18048780487806,0.22448780487804879,0.10560975609756099,0.10873170731707317,1.0688780487804876,150.7341463414634,2.585494775660725,27
Lmemore,244,0.7872950819672132,1.0528688524590164,221.26434426229508,67.4139344262295,0.23102459016393445,0.1045081967213115,0.10721311475409837,1.0504508196721312,149.2688524590164,2.585494775660725,21
Retla,294,0.5824489795918367,1.0412244897959184,173.9173469387755,75.23469387755102,0.4777891156462585,0.056020408163265305,0.06996598639455782,0.9089115646258504,110.06394557823128,5.146164079822616,24
Deryeon,274,0.6056934306569344,1.0721897810218977,179.52700729927008,76.99270072992701,0.45405109489051093,0.07204379562043796,0.07251824817518249,0.9905474452554746,112.2992700729927,5.146164079822616,19
sScary,294,0.5687414965986395,1.0344897959183672,172.79693877551023,76.88775510204081,0.5207142857142857,0.061972789115646264,0.07404761904761904,0.903265306122449,108.31156462585035,5.146164079822616,25
Zest,294,0.6348639455782314,1.100408163265306,184.10816326530613,76.79591836734694,0.38816326530612244,0.08452380952380953,0.06741496598639456,1.0681632653061226,114.4952380952381,5.146164079822616,25
yay,294,0.5624489795918368,1.026938775510204,171.9030612244898,76.5204081632653,0.53921768707483,0.05173469387755102,0.07710884353741497,0.8689115646258505,108.74965986394557,5.146164079822616,23
BeYN,228,0.5992105263157895,1.0627192982456142,177.68815789473686,76.32894736842105,0.45609649122807017,0.06820175438596492,0.07057017543859649,0.9685087719298245,111.44035087719297,5.146164079822616,38
MaKo,245,0.5298367346938776,0.9980816326530613,166.71795918367349,77.4734693877551,0.6073469387755102,0.05000000000000001,0.08,0.8108979591836736,104.87183673469387,5.146164079822616,35
Foxy9,245,0.5575918367346939,1.024204081632653,171.66489795918366,76.98367346938775,0.5583673469387755,0.05,0.08,0.8582448979591837,108.65959183673469,5.146164079822616,24
BuZz,245,0.5568979591836735,1.0235510204081633,171.54122448979592,76.99591836734695,0.5595918367346938,0.05,0.08,0.857061224489796,108.56489795918367,5.146164079822616,32
stax,245,0.6049387755102041,1.0722857142857143,179.42448979591836,77.21632653061225,0.45481632653061227,0.07493877551020407,0.07204081632653062,0.9962040816326531,111.88734693877551,5.146164079822616,17
crashies,203,0.6055172413793103,0.8610344827586208,173.0059113300493,64.6256157635468,0.2269950738916256,0.11477832512315271,0.10999999999999999,0.8358128078817735,116.52315270935961,2.585494775660725,40
Ethan,173,0.6157225433526012,0.8814450867052024,176.0820809248555,67.10404624277457,0.26635838150289015,0.11040462427745666,0.11,0.8518497109826589,117.9664739884393,2.585494775660725,28
Victor,229,0.6146288209606987,0.8792576419213974,175.7524017467249,66.83842794759825,0.26213973799126633,0.11087336244541485,0.10999999999999999,0.8501310043668122,117.81179039301311,2.585494775660725,37
Marved,256,0.6055468749999999,0.86109375,173.01484375,64.6328125,0.227109375,0.114765625,0.11,0.8358593750000001,116.52734375,2.585494775660725,23
Demon1,240,0.6187083333333334,0.8874166666666667,176.98208333333332,67.82916666666667,0.277875,0.10912499999999999,0.11,0.8565416666666666,118.38875,2.585494775660725,31
jawgemo,318,0.6230503144654088,0.8961006289308178,178.29088050314465,68.88364779874213,0.29462264150943396,0.10726415094339622,0.11000000000000001,0.8633647798742139,119.00283018867925,2.585494775660725,47
Derrek,277,0.6205415162454874,0.8910830324909748,177.5346570397112,68.27436823104694,0.2849458483754513,0.1083393501805054,0.11,0.8594223826714802,118.64801444043322,2.585494775660725,40
Apoth,276,0.6301086956521739,0.910217391304348,180.41847826086956,70.59782608695652,0.3218478260869565,0.10423913043478263,0.11,0.8744565217391305,120.00108695652175,2.585494775660725,32
NaturE,217,0.6122580645161291,0.8745161290322581,175.0377880184332,66.26267281105991,0.25299539170506913,0.11188940092165899,0.11,0.8464055299539172,117.47649769585254,2.585494775660725,32
supamen,338,0.6230177514792898,0.8960355029585799,178.2810650887574,68.87573964497041,0.29449704142011834,0.10727810650887576,0.11,0.8633136094674556,118.998224852071,2.585494775660725,22
Xeppaa,288,0.6576388888888888,0.7407638888888889,193.03472222222223,63.822916666666664,0.23072916666666662,0.10288194444444446,0.17638888888888887,0.7619444444444444,126.91979166666667,4.043120567375887,18
OXY,288,0.6364583333333333,0.7481249999999999,191.86458333333334,64.44791666666667,0.238125,0.11010416666666667,0.1617708333333333,0.7373958333333334,130.234375,4.043120567375887,32
runi,288,0.6364583333333333,0.7481249999999999,191.86458333333334,64.44791666666667,0.238125,0.11010416666666667,0.1617708333333333,0.7373958333333334,130.234375,4.043120567375887,25
moose,288,0.6493055555555556,0.7404166666666667,191.99305555555554,63.548611111111114,0.23041666666666666,0.12423611111111112,0.1553472222222222,0.7540972222222222,132.43124999999998,4.043120567375887,22
vanity,288,0.6277083333333333,0.74875,189.99131944444446,65.03472222222223,0.24902777777777776,0.09354166666666666,0.16743055555555555,0.7257638888888889,126.43333333333334,4.043120567375887,21
Khalil,184,0.653804347826087,0.741304347826087,192.44021739130434,63.98913043478261,0.23385869565217396,0.10032608695652175,0.17581521739130435,0.7572282608695652,126.4586956521739,4.043120567375887,25
nzr,184,0.6739130434782609,0.7352173913043478,194.43478260869566,63.0,0.22000000000000003,0.11347826086956521,0.1765217391304348,0.7821739130434782,128.4086956521739,4.043120567375887,24
havoc,149,0.6606711409395972,0.7426174496644296,194.3758389261745,63.711409395973156,0.22557046979865777,0.10798657718120805,0.1764429530201342,0.7657718120805369,128.33691275167786,4.043120567375887,20
kon4n,184,0.6081521739130434,0.7651086956521739,191.58152173913044,66.42934782608695,0.2551086956521739,0.07896739130434784,0.17592391304347824,0.7005978260869565,125.39402173913044,4.043120567375887,19
mwzera,184,0.667608695652174,0.741413043478261,195.16304347826087,63.55978260869565,0.22233695652173915,0.10527173913043476,0.1823913043478261,0.773695652173913,127.31467391304349,4.043120567375887,28
invy,319,0.5768652037617555,0.9436990595611284,167.07335423197492,68.13166144200628,0.18805642633228842,0.06623824451410659,0.05808777429467085,0.9236050156739811,117.43416927899686,0.9071770334928224,31
NDG,338,0.6163313609467456,0.9818934911242604,177.27041420118343,68.76923076923077,0.20207100591715976,0.0776923076923077,0.06443786982248521,0.9605917159763314,122.37810650887575,0.9071770334928224,39
Jremy,338,0.596715976331361,0.9626627218934911,172.28964497041417,68.26923076923077,0.19322485207100593,0.0726923076923077,0.06405325443786981,0.9302071005917159,119.14733727810652,0.9071770334928224,28
BORKUM,338,0.596715976331361,0.9626627218934911,172.28964497041417,68.26923076923077,0.19322485207100593,0.0726923076923077,0.06405325443786981,0.9302071005917159,119.14733727810652,0.9071770334928224,24
JessieVash,319,0.4925078369905956,0.860626959247649,145.7833855799373,65.70846394984326,0.14721003134796237,0.045768025078369905,0.06056426332288401,0.7750470219435737,102.3871473354232,0.9071770334928224,39
Crws,215,0.6001860465116279,0.9665116279069768,173.01302325581398,68.68837209302326,0.1981860465116279,0.07232558139534884,0.05911627906976744,0.9572558139534884,121.11581395348836,0.9071770334928224,28
JitBoyS,284,0.5577816901408451,0.9247887323943661,162.2985915492958,67.49647887323944,0.17792253521126764,0.06193661971830986,0.05996478873239436,0.8842957746478872,113.66267605633801,0.9071770334928224,32
Governor,284,0.5888028169014085,0.9550704225352113,170.2218309859155,68.19014084507042,0.19091549295774649,0.0702112676056338,0.062042253521126765,0.9259859154929576,118.36197183098592,0.9071770334928224,35
ban,157,0.5778343949044585,0.9447133757961783,167.2968152866242,68.20382165605096,0.18898089171974525,0.06630573248407644,0.057388535031847134,0.9282165605095543,117.79426751592355,0.9071770334928224,36
Surf,215,0.5717209302325581,0.9386046511627908,165.78511627906977,67.96279069767442,0.1853488372093023,0.06506976744186045,0.05855813953488372,0.9131627906976744,116.42744186046511,0.9071770334928224,40
Rossy,329,0.7624924012158055,1.1393920972644376,210.6079027355623,71.45896656534954,0.15030395136778116,0.14990881458966568,0.07863221884498482,1.1940121580547114,140.50729483282674,0.7156359803232608,38
Sayaplayer,329,0.7622796352583587,1.1410942249240121,210.07598784194528,71.52279635258358,0.14966565349544073,0.1509726443768997,0.07778115501519758,1.1984802431610944,140.18601823708207,0.7156359803232608,41
xccurate,269,0.7495539033457249,1.1024535315985131,211.15464684014873,70.04832713754647,0.15728624535315988,0.1342007434944238,0.080817843866171,1.1257992565055763,141.12118959107806,0.7156359803232608,36
iZu,289,0.7607266435986159,1.1395847750865051,209.45674740484432,71.4636678200692,0.14955017301038062,0.1507612456747405,0.07692041522491351,1.197370242214533,139.8401384083045,0.7156359803232608,32
Carpe,311,0.7338585209003216,1.0786495176848876,206.8983922829582,69.12861736334405,0.1589067524115756,0.12717041800643086,0.07540192926045015,1.0938906752411575,138.85209003215434,0.7156359803232608,24
Dep,254,0.7389370078740157,1.0916535433070866,207.03385826771657,69.6259842519685,0.15665354330708664,0.13248031496062992,0.07511811023622048,1.1170472440944883,138.82559055118108,0.7156359803232608,34
yuran,299,0.7404682274247492,1.102408026755853,205.4742474916388,70.03344481605352,0.15374581939799334,0.1379933110367893,0.07240802675585284,1.1405685618729096,137.8371237458194,0.7156359803232608,32
SugarZ3ro,278,0.7594964028776979,1.144892086330935,207.4431654676259,71.66187050359713,0.14733812949640288,0.15431654676258996,0.0737410071942446,1.2122302158273381,138.63309352517985,0.7156359803232608,28
hiroronn,254,0.7389370078740157,1.0916535433070866,207.03385826771657,69.6259842519685,0.15665354330708664,0.13248031496062992,0.07511811023622048,1.1170472440944883,138.82559055118108,0.7156359803232608,27
Laz,299,0.7625418060200669,1.128896321070234,213.09698996655518,71.06354515050167,0.1537458193979933,0.14387959866220737,0.08270903010033447,1.1685284280936457,142.03110367892978,0.7156359803232608,37
zekken,837,0.6308841099163679,0.9464994026284349,200.1810035842294,73.59617682198328,0.4570011947431302,0.11438470728793308,0.1256152927120669,0.8673835125448028,130.989486260454,1.4290018832391709,27
Zellsis,837,0.6085424133811231,0.9077538829151733,188.85818399044203,71.36559139784946,0.3905376344086021,0.09287933094384707,0.12329749103942653,0.8527598566308245,124.48817204301075,1.4290018832391709,16
TenZ,837,0.6234647550776583,0.9397132616487456,196.03823178016725,73.35961768219833,0.4484587813620072,0.10821983273596177,0.12117084826762245,0.8644444444444443,128.36690561529272,1.4290018832391709,20
